Andrenidae
"   Acamptopoeum argentinum (Friese, 1906) -- Perdita argentina Friese, 1906"
"   Acamptopoeum calchaqui Compagnucci, 2004"
"   Acamptopoeum colombiense Shinn, 1965 -- Acamptopoeum colombiensis_sic Shinn, 1965"
"   Acamptopoeum fernandezi Gonzalez, 2004"
"   Acamptopoeum inauratum (Cockerell, 1926) -- Camptopoeum (Acamptopoeum) inauratum Cockerell, 1926"
"   Acamptopoeum melanogaster Compagnucci, 2004"
"   Acamptopoeum nigritarse (Vachal, 1909) -- Camptopoeum (Acamptopoeum) nigritarse Vachal, 1909"
"   Acamptopoeum prinii (Holmberg, 1884) -- Camptopoeum prinii Holmberg, 1884; Camptopoeum amargosi Holmberg, 1884; Friesea brasiliensis Schrottky, 1902"
"   Acamptopoeum submetallicum (Spinola, 1851) -- Camptopaeum submetallicum Spinola, 1851"
"   Acamptopoeum tintin Compagnucci, 2004"
"   Acamptopoeum vagans (Cockerell, 1926) -- Camptopoeum (Acamptopoeum) vagans Cockerell, 1926"
"   Alloxaea brevipalpis (Ascher, Engel and Griswold, 2006) -- Oxaea (Alloxaea) brevipalpis Ascher, Engel, and Griswold, 2006"
"   Alocandrena porteri Michener, 1986"
"   Ancylandrena koebelei (Timberlake, 1951) -- Megandrena (Ancylandrena) koebelei Timberlake, 1951"
"   Ancylandrena larreae (Timberlake, 1951) -- Megandrena (Ancylandrena) larreae Timberlake, 1951"
"   Ancylandrena rozeni Zavortink, 1994"
"   Ancylandrena timberlakei Zavortink, 1974"
"   Andinopanurgus amyae (Gonzalez and Engel, 2011) -- Protandrena (Andinopanurgus) amyae Gonzalez and Engel, 2011"
"   Andinopanurgus bachue (Gonzalez and Ruz, 2007) -- Protandrena bachue Gonzalez and Ruz, 2007; Rhophitulus bachue (Gonzalez and Ruz, 2007)"
"   Andinopanurgus femoralis (Gonzalez and Engel, 2011) -- Protandrena (Andinopanurgus) femoralis Gonzalez and Engel, 2011"
"   Andinopanurgus guarnensis (Gonzalez and Ruz, 2007) -- Protandrena guarnensis Gonzalez and Ruz, 2007; Rhophitulus guarnensis (Gonzalez and Ruz, 2007)"
"   Andinopanurgus maximina (Gonzalez and Ruz, 2007) -- Protandrena maximina Gonzalez and Ruz, 2007; Rhophitulus maximina (Gonzalez and Ruz, 2007)"
"   Andinopanurgus rangeli (Gonzalez and Ruz, 2007) -- Protandrena rangeli Gonzalez and Ruz, 2007; Rhophitulus rangeli (Gonzalez and Ruz, 2007)"
"   Andinopanurgus vargasllosai Gonzalez and Alvarado, 2019"
"   Andinopanurgus wayruronga (Gonzalez and Ruz, 2007) -- Protandrena wayruronga Gonzalez and Ruz, 2007; Rhophitulus wayruronga (Gonzalez and Ruz, 2007)"
"   Andrena abbreviata Dours, 1873 -- Andrena leucorhina abnormis Warncke, 1967; Andrena abbreviata dominica Warncke, 1975"
"   Andrena aberrans Eversmann, 1852 -- Andrena ratisbonensis Stoeckhert, 1924"
"   Andrena abjecta Pérez, 1895"
"   Andrena ablegata (Cockerell, 1922) -- Diandrena ablegata Cockerell, 1922"
"   Andrena abrupta Warncke, 1967"
"   Andrena aburana Hirashima, 1962"
"   Andrena accepta Viereck, 1916 -- Andrena pulchella_homonym Robertson, 1891; Pterandrena pulchella (Robertson, 1891); Andrena accepta Viereck, 1916, replacement name"
"   Andrena acerba Warncke, 1967"
"   Andrena aciculata Morawitz, 1886 -- Andrena tenuicula Stoeckhert, 1950; Andrena strymonia Pittioni, 1950"
"   Andrena acrana Warncke, 1967"
"   Andrena aculeata LaBerge, 1980"
"   Andrena acutilabris Morawitz, 1876 -- Andrena urmitana Morawitz, 1876"
"   Andrena adjacens Morawitz, 1876"
"   Andrena aegyptiaca Friese, 1899 -- Andrena comberiana Cockerell, 1911; Andrena comberiana beharica Cockerell, 1920, doubtful synonym; Andrena aegyptiaca cannabina Warncke, 1968"
"   Andrena aegypticola Friese, 1922 -- Andrena larnacensis Mavromoustakis, 1954"
"   Andrena aeneiventris Morawitz, 1872 -- Andrena locularoides Strand, 1915; Andrena aeneiventris var punctata Jaeger, 1934"
"   Andrena aerifera LaBerge, 1967"
"   Andrena aerinifrons Dours, 1873 -- Andrena albo-virescens Dours, 1873; Andrena albovirescens Dours, 1873; Andrena viridata Pérez, 1895; Andrena viridi-aenea Pérez, 1903; Andrena viridiaenea Pérez, 1903; Andrena atlantis Friese, 1924; Andrena aerinifrons levantina Hedicke, 1938, Andrena (Carandrena) aerinifrons levantina Hedicke, 1938, valid subspecies"
"   Andrena aeripes LaBerge, 1967"
"   Andrena aetherea Warncke, 1974"
"   Andrena afghana Warncke, 1974"
"   Andrena afimbriata LaBerge, 1967"
"   Andrena afrensis Warncke, 1967"
"   Andrena africana Friese, 1909 -- Andrena kristenseni Friese, 1915; Andrena meneliki Friese, 1915; Andrena (Andrena) boswendica Viereck, 1917; Andrena (Andrena) aequatorialis Viereck, 1917; Notomelitta tropicalis Cockerell, 1934; Rediviva tropicalis (Cockerell, 1934)"
"   Andrena agilis Smith, 1879"
"   Andrena agilissima (Scopoli, 1770) -- Apis muraria_homonym Geoffroy, 1785; Apis agillisima Scopoli, 1770; Andrena flessae Panzer, 1805; Andrena agillissima melanopyga Alfken, 1938; Andrena agilissima italica Warncke, 1967"
"   Andrena agnata Warncke, 1967"
"   Andrena agoseridis Thorp, 1969"
"   Andrena ahenea Morawitz, 1876"
"   Andrena aiderensis Osytshnjuk, 1993"
"   Andrena ailisensis Osytshnjuk, 1993"
"   Andrena aino Tadauchi, Hirashima and Matsumura, 1987"
"   Andrena akitsushimae Tadauchi and Hirashima, 1984"
"   Andrena alamonis Viereck, 1917 -- Andrena (Scrapter) alamonis Viereck, 1917"
"   Andrena alashanica Popov, 1949"
"   Andrena albicaudata Hirashima, 1966"
"   Andrena albiculta Viereck, 1917 -- Andrena (Andrena) albiculta Viereck, 1917; Andrena (Elandrena) albiculta Viereck, 1917"
"   Andrena albifacies Alfken, 1926 -- Andrena rutila var albifacies Alfken, 1926"
"   Andrena albopicta Radoszkowski, 1874"
